Gennemsnitligt antal beskæftigede efter periode, socioøkonomisk status, område, køn, branche (DB07), alder og tid;;;;;;;;;;;;;;;;;
Enhed: Antal;;;;;;;;;;;;;;;;;
;;;;;;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
;;;;;16-19 år;924;929;892;867;841;878;913;908;897;801;811;954
;;;;;20-24 år;1006;1015;1024;1076;1152;1132;1193;1218;1274;1286;1331;1487
;;;;;25-29 år;1045;1036;1047;1054;1117;1224;1277;1342;1410;1415;1543;1687
;;;;;30-34 år;1201;1128;1091;1114;1111;1173;1223;1273;1339;1389;1448;1590
;;;;;35-39 år;1516;1465;1415;1393;1371;1379;1366;1355;1402;1422;1452;1500
;;;;;40-44 år;1708;1675;1686;1686;1702;1747;1704;1680;1706;1669;1626;1649
;;;;;45-49 år;1746;1829;1873;1876;1910;1923;1902;1943;1968;1967;1978;1980
;;;;;50-54 år;1458;1501;1604;1680;1768;1906;2056;2094;2144;2150;2147;2212
;;;;;55-59 år;1368;1402;1409;1442;1461;1567;1605;1706;1824;1931;2145;2290
;;;;;60-64 år;1230;1164;1159;1124;1117;1162;1241;1316;1382;1404;1487;1586
;;;;;65-66 år;410;445;435;392;391;354;325;350;356;392;374;399
;;;;;67 år og derover;1386;1525;1654;1786;1895;1947;2023;2038;2067;2114;2152;2166
